GeneSymbol,ZHL,epval,efdr,Replicate1
Sfpq,1.493615388,0.007746596,0.717222222,1
Dsc3,1.492023492,0.007817678,0.720723404,1
Csf2ra,1.49036899,0.00788553,0.720912863,1
Brinp3,1.488771139,0.00795892,0.720912863,1
Actl7a,1.488716484,0.007961228,0.720912863,1
Aggf1,1.488486401,0.007969075,0.720912863,1
Lamp2,1.487935576,0.008003231,0.720912863,1
4931429I11Rik,1.487578542,0.008019386,0.720912863,1
Auh,1.485967416,0.008094623,0.724669421,1
Rps17,1.484891577,0.008153243,0.724820717,1
Ppp1r2,1.484569376,0.008169398,0.724820717,1
Cdh11,1.483546568,0.008217401,0.724820717,1
Rtdr1,1.483180881,0.008235403,0.724820717,1
Flywch2,1.482175279,0.008265867,0.724820717,1
Pex3,1.480982508,0.008318948,0.724820717,1
Dmrt3,1.479877917,0.00837249,0.724820717,1
Sphkap,1.479782792,0.008378952,0.724820717,1
Map3k19,1.479357102,0.008397415,0.724820717,1
Cd48,1.478369773,0.008448188,0.726309524,1
Fosl1,1.475966083,0.008564043,0.733359684,1
Sgcz,1.474178976,0.008651281,0.734763636,1
Bmp2k,1.473681483,0.008683129,0.734763636,1
Zfp704,1.473012438,0.008718209,0.734763636,1
Anapc5,1.471552938,0.008810524,0.734763636,1
Rpl35a,1.471249854,0.008826679,0.734763636,1
Hscb,1.471185346,0.008830372,0.734763636,1
NonTargetingControlGuideForMouse_12,1.469850096,0.00890607,0.734763636,1
Gm7073,1.469792268,0.008911609,0.734763636,1
Fhl1,1.469593655,0.008924533,0.734763636,1
Olfr899,1.467212244,0.009055158,0.734763636,1
Retn,1.467104455,0.009063928,0.734763636,1
Ndor1,1.466501524,0.009092084,0.734763636,1
Slc15a3,1.466193803,0.009109624,0.734763636,1
Paip1,1.463938306,0.00922594,0.734763636,1
Ccm2l,1.463810632,0.009231941,0.734763636,1
Alg2,1.463546999,0.009247173,0.734763636,1
Cyp2j13,1.463305147,0.009256866,0.734763636,1
Vmn1r24,1.463057907,0.009268405,0.734763636,1
Olfr63,1.462495042,0.009297023,0.734763636,1
Strip2,1.462320834,0.009307639,0.734763636,1
mmu-mir-871,1.46227481,0.009310408,0.734763636,1
Mmachc,1.462012766,0.009326564,0.734763636,1
Triobp,1.46067681,0.009399492,0.737645051,1
Tacc2,1.459284243,0.009481191,0.737645051,1
Mettl24,1.459179301,0.009485345,0.737645051,1
Csta,1.457501303,0.009576275,0.737645051,1
Smad7,1.456811845,0.009627048,0.737645051,1
Trappc9,1.455158984,0.009718901,0.737645051,1
Olfr722,1.45443141,0.009760443,0.737645051,1
Actn4,1.454137826,0.009775675,0.737645051,1
