Column1,EntrezID,Cutoff,Cutoff2
225,51411,0,0.5
226,642,0,0.5
227,2647,0,0.5
229,645,0,0.5
230,55589,0,0.5
231,552900,0,0.5
232,10380,0,0.5
233,79184,0,0.5
234,55845,0,0.5
235,682,0,0.5
236,689,0,0.5
237,91408,0,0.5
238,695,0,0.5
239,9184,0,0.5
240,8896,0,0.5
241,9689,0,0.5
243,256815,0,0.5
244,28970,0,0.5
246,57020,0,0.5
248,54987,0,0.5
249,708,0,0.5
250,8209,0,0.5
251,9847,0,0.5
252,728,0,0.5
253,285636,0,0.5
256,51719,0,0.5
257,27101,0,0.5
258,805,0,0.5
259,811,0,0.5
260,813,0,0.5
261,8536,0,0.5
263,55832,0,0.5
264,821,0,0.5
265,10487,0,0.5
266,822,0,0.5
267,823,0,0.5
268,824,0,0.5
269,826,0,0.5
270,4076,0,0.5
272,829,0,0.5
273,830,0,0.5
274,832,0,0.5
275,64170,0,0.5
276,23589,0,0.5
277,833,0,0.5
278,834,0,0.5
279,836,0,0.5
280,840,0,0.5
281,831,0,0.5
282,847,0,0.5
284,873,0,0.5
285,10951,0,0.5
286,11335,0,0.5
287,23468,0,0.5
288,57805,0,0.5
290,28952,0,0.5
291,57003,0,0.5
292,8030,0,0.5
297,10576,0,0.5
298,7203,0,0.5
299,10575,0,0.5
300,22948,0,0.5
301,908,0,0.5
302,10574,0,0.5
303,10694,0,0.5
305,910,0,0.5
309,80381,0,0.5
313,961,0,0.5
315,963,0,0.5
316,966,0,0.5
321,978,0,0.5
322,11140,0,0.5
323,998,0,0.5
324,988,0,0.5
325,984,0,0.5
326,80279,0,0.5
327,8760,0,0.5
328,55573,0,0.5
330,10659,0,0.5
331,1063,0,0.5
332,2491,0,0.5
333,9859,0,0.5
334,1066,0,0.5
335,1072,0,0.5
337,54927,0,0.5
338,1108,0,0.5
339,10523,0,0.5
340,66005,0,0.5
341,5119,0,0.5
342,57132,0,0.5
343,27243,0,0.5
344,128866,0,0.5
345,51510,0,0.5
346,26973,0,0.5
347,11261,0,0.5
348,9391,0,0.5
349,1153,0,0.5
350,493856,0,0.5
351,10970,0,0.5
352,9793,0,0.5
354,23122,0,0.5
355,1192,0,0.5
356,1193,0,0.5
357,25932,0,0.5
358,9685,0,0.5
359,6249,0,0.5
361,1212,0,0.5
362,1213,0,0.5
363,55907,0,0.5
364,152100,0,0.5
365,51727,0,0.5
368,55748,0,0.5
369,1265,0,0.5
370,23019,0,0.5
371,1267,0,0.5
372,388753,0,0.5
373,80347,0,0.5
374,9382,0,0.5
376,79709,0,0.5
377,51397,0,0.5
378,100532731,0,0.5
379,170622,0,0.5
380,29099,0,0.5
381,1312,0,0.5
382,1314,0,0.5
383,1315,0,0.5
384,9276,0,0.5
385,11316,0,0.5
