"GeneSymbol","EntrezID","PercInfected.Zscore","CellNumber.Zscore","assigned.value","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","Pathway"
"TPT1",7178,-1.003452427,0.053761807,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TPT1P8",59347,-1.987780781,1.48441622,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"TPTE",7179,-0.18238751,0.687983107,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TPTE2",93492,-0.437942815,-0.187628757,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TPX2",22974,0.221324354,-3.316207071,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TRA2A",29896,-1.691059282,-1.726140333,0.5,"MedConf","No","MedConf","No","MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Spliceosome"
"TRA2B",6434,0.030779974,0.266109822,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"TRABD",80305,0.151798345,1.615199889,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TRABD2A",129293,-0.458056057,1.597612602,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TRADD",8717,0.525812387,0.60347988,0,"LowConf","Yes","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"TRAF1",7185,0.622344366,0.210586424,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"TRAF2",7186,0.052743914,0.893925408,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"TRAF3",7187,0.677254296,0.300193463,0,"LowConf","Yes","0","No","0","Yes","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"TRAF3IP1",26146,0.178135177,-0.274949627,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TRAF3IP2",10758,0.992209743,0.395040456,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"TRAF3IP3",80342,0.976935581,0.225505348,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TRAF4",9618,-0.88402166,0.758631544,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"TRAF5",7188,0.72186218,0.112059248,0,"LowConf","Yes","0","No","0","Yes","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"TRAF6",7189,0.275783336,0.300193463,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"TRAF7",84231,-0.167320566,-1.21685035,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
