"GeneSymbol","normalized.shared","X","EntrezID","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","Pathway"
"MRGBP",0,9827,55257,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"THNSL2",0,16571,55258,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASC1",0,2279,55259,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TMEM143",0,16856,55260,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C7orf43",0,1905,55262,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TMEM19",0,16746,55266,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"PRR34",0,12934,55267,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECHDC2",0,4736,55268,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"PSPC1",0,13063,55269,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"NUDT15",0,10948,55270,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IMP3",0,7698,55272,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"TMEM100",0,16814,55273,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"PHF10",0,12074,55274,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"VPS53",0,18088,55275,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"PGM2",0,12043,55276,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"FGGY",0,5752,55277,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"QRSL1",0,13234,55278,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ZNF654",0,18991,55279,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CWF19L1",0,3876,55280,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"TMEM140",0,16854,55281,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LRRC36",0,8971,55282,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MCOLN3",0,9419,55283,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"UBE2W",0.5,17703,55284,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Ubiquitin mediated proteolysis"
