"","EntrezID","AveCells.LogPlateNorm","Replicate1","Score","PrimaryTier","ConfirmTier","RANK.hits","RANK.nonhits","Normalized.triage","Selected.triage","Confirmed.triage"
"9335",51195,0.936671342435575,0.92,-0.371,0,0,5787,5577,0,0,0
"9336",51196,0.206209276492723,1.28,0.737,0,0,12525,12315,0,0,0
"9337",51199,0.00367328919317114,1.26,0.676,0,0,12195,11985,0,0,0
"9338",51200,-1.09302329010473,1.88,2.564,0,0,16408,16198,0,0,0
"9339",51201,-0.275661378960539,1.4,1.102,0,0,14149,13939,0,0,0
"9340",51202,-1.66433705833803,0.64,-1.212,0,0,1723,1513,0,0,0
"9341",51203,1.18463999470573,0.93,-0.358,0,0,5890,5680,0,0,0
"9342",51204,-1.84733008348002,0.94,-0.299,0,0,6258,6048,0,0,0
"9343",51205,0.574493923948408,1.33,1.114,0,0,14215,14005,0,0,0
"9344",51206,-0.173733976798044,1.21,0.887,0,0,13262,13052,0,0,0
"9345",51207,0.051740490683117,0.83,-0.75,0,0,3677,3467,0,0,0
"9346",51208,-0.707002540040468,1.22,0.554,0,0,11528,11318,0,0,0
"9347",51209,-0.743141969148282,1.47,2.004,0,0,16159,15949,0,0,0
"9348",51213,-1.91345261588012,0.52,-1.578,0.5,0.5,823,615,0.5,0.5,0.5
"9349",51214,0.0954340810001633,0.81,-0.853,0,0,3153,2943,0,0,0
"9350",51218,-0.20659912003336,1.51,1.437,0,0,15261,15051,0,0,0
"9351",51222,0.445704710381682,1.04,0.006,0,0,8153,7943,0,0,0
"9352",51224,1.16958424563216,1.02,-0.028,0,0,7930,7720,0,0,0
"9353",51225,0.505822165015575,1.04,0.043,0,0,8439,8229,0,0,0
"9354",51226,-1.30618512736517,0.98,-0.177,0,0,7013,6803,0,0,0
"9355",51228,-1.35256603447772,1.25,0.646,0,0,12058,11848,0,0,0
"9356",51230,0.80124327655664,0.57,-1.425,0,0,1138,929,0.5,0,0.5
"9357",51231,0.608868103736991,0.96,-0.678,0,0,4072,3862,0,0,0
"9358",51232,0.573473521012536,1.2,0.493,0,0,11194,10984,0,0,0
"9359",51233,0.741249529248246,1.03,-0.024,0,0,7983,7773,0,0,0
"9360",51234,0.223376799301404,1.08,0.128,0,0,8987,8777,0,0,0
"9361",51236,-2.13059305968362,0.66,-1.151,0,0,NA,NA,0,0,0
"9362",51237,-0.449851859274776,1.22,0.554,0,0,11529,11319,0,0,0
"9363",51239,-0.870695379024455,0.74,-0.908,0,0,2899,2689,0,0,0
"9364",51241,-1.9825148748073,1.11,0.219,0,0,9571,9361,0,0,0
"9365",51244,-0.870695379024455,1.03,-0.024,0,0,7984,7774,0,0,0
"9366",51246,0.812968954901495,1.02,-0.055,0,0,7788,7578,0,0,0
"9367",51247,1.21248154156351,1.08,0.128,0,0,8988,8778,0,0,0
"9368",51248,0.240356695154235,0.57,-1.425,0,0,1139,930,0.5,0,0.5
"9369",51249,1.15731675236195,1.39,1.072,0,0,14054,13844,0,0,0
"9370",51250,0.914698412886815,1.31,0.828,0,0,12939,12729,0,0,0
"9371",51251,-1.84185931630019,1,-0.096,0,0,7534,7324,0,0,0
"9372",51252,0.400668368481592,1.09,0.158,0,0,9181,8971,0,0,0
"9373",51253,-0.476410540294277,0.82,-0.664,0,0,4123,3913,0,0,0
"9374",51255,-0.299381610791162,0.86,-0.542,0,0,4803,4593,0,0,0
"9375",51256,1.03061720881118,0.9,-0.42,0,0,5504,5294,0,0,0
"9376",51257,-0.530929994073878,0.4,-1.943,0.5,0.5,360,210,1,0.5,0.5
"9377",51258,-1.44970047487666,0.79,-0.755,0,0,3642,3432,0,0,0
"9378",51259,0.257153020970103,1.42,1.163,0,0,14406,14196,0,0,0
"9379",51260,-0.449851859274776,0.86,-0.542,0,0,4804,4594,0,0,0
"9380",51263,0.0425164375087363,1.16,0.371,0,0,10497,10287,0,0,0
"9381",51264,-3.2074977152008,0.64,-1.212,0,0,NA,NA,0,0,0
"9382",51265,-1.69370517286334,1.15,0.871,0,0,13171,12961,0,0,0
"9383",51266,-0.858853885877575,1.32,1.383,0,0,15092,14882,0,0,0
"9384",51267,-0.430445826583305,1.15,0.405,0,0,10670,10460,0,0,0
"9385",51268,0.153538300035307,1.05,0.036,0,0,8416,8206,0,0,0
"9386",51270,-0.770425427962837,1.07,0.097,0,0,8798,8588,0,0,0
"9387",51271,0.785767575325735,0.9,-0.462,0,0,5235,5025,0,0,0
"9388",51272,-0.870695379024455,0.69,-1.06,0,0,2294,2084,0,0,0
"9389",51274,0.726036309795609,1.41,1.298,0,0,14843,14633,0,0,0
"9390",51276,0.870305535483819,1.33,0.889,0,0,13267,13057,0,0,0
"9391",51277,-0.381779685217938,0.97,-0.188,0,0,6942,6732,0,0,0
"9392",51278,-0.162206242630363,0.76,-0.847,0,0,3207,2997,0,0,0
"9393",51279,0.0425164375087363,0.63,-1.243,0,0,1624,1414,0,0,0
"9394",51280,0.43083718060004,0.94,-0.299,0,0,6259,6049,0,0,0
"9395",51281,0.600494115222901,0.82,-0.664,0,0,4124,3914,0,0,0
"9396",51283,1.44446756929121,0.6,-1.776,0.5,0.5,527,339,0.5,0.5,0.5
"9397",51284,0.586164165205407,0.87,-0.516,0,0,4944,4734,0,0,0
"9398",51285,-1.17481296373286,0.94,-0.299,0,0,6260,6050,0,0,0
"9399",51286,-0.616473341927131,0.91,-0.39,0,0,5668,5458,0,0,0
"9400",51287,0.43083718060004,1.02,-0.055,0,0,7789,7579,0,0,0
"9401",51289,1.62196203295509,0.81,-1.43,0,0,1122,913,0.5,0,0.5
"9402",51290,0.812968954901495,1.22,0.554,0,0,11530,11320,0,0,0
"9403",51291,-1.66433705833803,1.18,0.432,0,0,10829,10619,0,0,0
"9404",51292,0.0970237924704505,1.33,1.148,0,0,14330,14120,0,0,0
"9405",51293,-0.476901935457594,1.19,0.51,0,0,11280,11070,0,0,0
"9406",51294,1.17396351825854,0.68,-1.141,0,0,2001,1791,0,0,0
"9407",51295,1.2214882045031,0.88,-0.481,0,0,5142,4932,0,0,0
"9408",51296,1.57355311037624,0.84,-0.603,0,0,4449,4239,0,0,0
"9409",51297,1.38338388307152,0.92,-0.359,0,0,5875,5665,0,0,0
"9410",51298,-1.8791060803328,1.12,0.333,0,0,10270,10060,0,0,0
"9411",51299,0.678845759109893,1.24,0.615,0,0,11868,11658,0,0,0
"9412",51300,-0.162206242630363,1.11,0.219,0,0,9572,9362,0,0,0
"9413",51301,1.52260936589886,0.76,-0.847,0,0,3208,2998,0,0,0
"9414",51302,-1.01532484992971,1.36,0.981,0,0,13689,13479,0,0,0
"9415",51303,0.989270508217388,0.8,-0.754,0,0,3652,3442,0,0,0
"9416",51304,0.240356695154235,1.22,0.554,0,0,11531,11321,0,0,0
"9417",51305,0.630437441729187,0.4,-2.429,1,1,102,NA,1,1,1
"9418",51306,-0.140476587633253,0.79,-0.755,0,0,3643,3433,0,0,0
"9419",51307,0.273769703494331,1.67,1.925,0,0,16093,15883,0,0,0
"9420",51308,0.789428428698974,1.02,-0.055,0,0,7790,7580,0,0,0
"9421",51309,0.666058485229354,1.3,0.798,0,0,12802,12592,0,0,0
"9422",51310,-0.0770536997108842,1.42,1.163,0,0,14407,14197,0,0,0
"9423",51311,-3.21993498286143,1.3,1.296,0,0,NA,NA,0,0,0
"9424",51312,0.00367328919317114,1.46,1.285,0,0,14797,14587,0,0,0
"9425",51313,1.05079470028367,1.42,1.163,0,0,14408,14198,0,0,0
"9426",51314,0.112271892785098,1.28,1.168,0,0,14426,14216,0,0,0
"9427",51315,-0.616473341927131,1.19,0.463,0,0,10983,10773,0,0,0
"9428",51316,0.273769703494331,1.56,1.59,0,0,15591,15381,0,0,0
"9429",51317,0.983151738339915,0.98,-0.081,0,0,7647,7437,0,0,0
"9430",51318,1.30028145481858,1.14,0.311,0,0,10148,9938,0,0,0
"9431",51319,0.290210544808929,0.88,-0.481,0,0,5143,4933,0,0,0
"9432",51320,-2.79987678595149,0.68,-1.09,0,0,NA,NA,0,0,0
"9433",51321,1.8840218332332,1.12,0.25,0,0,9789,9579,0,0,0
"9434",51322,-2.05479046477865,1.25,0.646,0,0,NA,NA,0,0,0
"9435",51324,0.728967686585289,1.29,0.767,0,0,12653,12443,0,0,0
"9436",51327,-2.36760970615461,0.585,-2.7875,1,0.5,NA,NA,0,1,0
"9437",51329,0.744176166046587,0.83,-0.805,0,0,3385,3175,0,0,0
"9438",51330,-1.5437606599598,1.03,0.067,0,0,8570,8360,0,0,0
"9439",51332,-1.44970047487666,1.33,0.889,0,0,13268,13058,0,0,0
"9440",51333,-1.40037426829242,1.24,0.615,0,0,11869,11659,0,0,0
"9441",51334,-0.676236287035587,1.43,1.194,0,0,14513,14303,0,0,0
"9442",51335,-1.30618512736517,1.21,0.524,0,0,11395,11185,0,0,0
"9443",51337,-0.137591825333925,1.26,0.928,0,0,13418,13208,0,0,0
"9444",51338,0.43083718060004,1.25,0.646,0,0,12059,11849,0,0,0
"9445",51339,0.740193888838617,0.93,-0.329,0,0,6070,5860,0,0,0
"9446",51340,-3.37119055418479,0.37,-2.034,0,0,NA,NA,0,0,0
"9447",51341,0.981010837856424,0.67,-1.197,0,0,1787,1577,0,0,0
"9448",51343,-0.357530304180051,1.15,0.677,0,0,12207,11997,0,0,0
"9449",51347,0.206618348855557,1.14,0.737,0,0,12526,12316,0,0,0
"9450",51348,0.280347150629002,0.98,-0.15,0,0,7224,7014,0,0,0
"9451",51350,0.181031459937267,0.99,-0.057,0,0,7777,7567,0,0,0
"9452",51351,-2.4772789238096,1.06,0.067,0,0,NA,NA,0,0,0
"9453",51352,0.573695373829895,1.46,1.434,0,0,15251,15041,0,0,0
"9454",51360,0.294211701856823,1,-0.029,0,0,7925,7715,0,0,0
"9455",51361,0.716587979602687,0.73,-0.938,0,0,2756,2546,0,0,0
"9456",51362,-2.29428589866761,0.39,-1.973,0,0,NA,NA,0,0,0
"9457",51363,-0.0564753193170476,0.54,-1.517,0.5,0.5,932,724,0.5,0.5,0.5
"9458",51364,0.489472252696331,1.56,1.59,0,0,15592,15382,0,0,0
"9459",51365,-0.770425427962837,1.71,2.046,0,0,16186,15976,0,0,0
"9460",51366,0.958087722823946,0.92,-0.349,0,0,5935,5725,0,0,0
"9461",51367,-1.01532484992971,1.38,1.041,0,0,13901,13691,0,0,0
"9462",51368,-0.836547960362943,1.92,2.686,0,0,16425,16215,0,0,0
"9463",51372,-0.275661378960539,1.01,-0.085,0,0,7609,7399,0,0,0
"9464",51373,-0.941327769470844,1.65,1.864,0,0,16038,15828,0,0,0
"9465",51374,-0.678692902126793,1.31,1.302,0,0,14865,14655,0,0,0
"9466",51375,-0.941327769470844,0.77,-0.816,0,0,3330,3120,0,0,0
"9467",51377,0.487474979037168,1.11,0.499,0,0,11217,11007,0,0,0
"9468",51378,-0.506092838274805,1.11,0.627,0,0,11957,11747,0,0,0
"9469",51379,0.395970955226525,0.96,-0.229,0,0,6664,6454,0,0,0
"9470",51380,-0.553862981963011,1.21,0.691,0,0,12297,12087,0,0,0
"9471",51382,0.188285478025161,0.64,-1.318,0,0,1400,1191,0.5,0,0
"9472",51384,0.671351814582966,0.84,-0.641,0,0,4259,4049,0,0,0
"9473",51385,-0.427450912422109,1.23,0.666,0,0,12162,11952,0,0,0
"9474",51386,-0.275661378960539,1.38,1.041,0,0,13902,13692,0,0,0
"9475",51388,-2.38308978288235,0.81,-0.694,0,0,NA,NA,0,0,0
"9476",51389,0.989458642770449,1.16,0.371,0,0,10498,10288,0,0,0
"9477",51390,0.610659312019426,1.23,0.635,0,0,11989,11779,0,0,0
"9478",51393,-0.284332004582189,0.97,-0.099,0,0,7501,7291,0,0,0
"9479",51397,0.0615798055874712,1.44,1.224,0,0,14604,14394,0,0,0
"9480",51398,0.206209276492723,1.24,0.615,0,0,11870,11660,0,0,0
"9481",51399,1.7493699333555,0.8,-0.725,0,0,3817,3607,0,0,0
"9482",51400,0.0907184854291204,0.98,-0.112,0,0,7439,7229,0,0,0
"9483",51402,-0.449851859274776,1.11,0.219,0,0,9573,9363,0,0,0
"9484",51406,0.0990188462557053,0.97,-0.207,0,0,6796,6586,0,0,0
"9485",51409,1.32568221142747,0.68,-1.09,0,0,2169,1959,0,0,0
"9486",51411,-1.06152828082973,1.21,0.863,0,0,13116,12906,0,0,0
"9487",51412,0.176029856731045,1.07,0.276,0,0,9948,9738,0,0,0
"9488",51421,0.587042559280211,0.62,-1.273,0,0,1516,1306,0,0,0
"9489",51422,0.000847580005553091,1.5,1.995,0,0,16153,15943,0,0,0
"9490",51426,0.0615798055874712,1.18,0.432,0,0,10830,10620,0,0,0
"9491",51427,-0.0770536997108842,1.73,2.107,0,0,16223,16013,0,0,0
"9492",51428,-1.55331519581146,0.85,-0.573,0,0,4612,4402,0,0,0
"9493",51429,-0.595533400515894,1.33,1.401,0,0,15152,14942,0,0,0
"9494",51430,0.978996347301493,0.5,-1.638,0.5,0.5,727,522,0.5,0.5,0.5
"9495",51433,-2.78067858683994,0.56,-1.69,0,0,NA,NA,0,0,0
"9496",51434,-0.282827494876766,1.11,0.499,0,0,11218,11008,0,0,0
"9497",51435,0.267880253082818,1.03,-0.168,0,0,7070,6860,0,0,0
"9498",51438,0.653165091680318,1.33,0.889,0,0,13269,13059,0,0,0
"9499",51439,0.678845759109893,1.01,-0.085,0,0,7610,7400,0,0,0
"9500",51440,0.290210544808929,1.37,1.011,0,0,13799,13589,0,0,0
"9501",51441,1.62287931696048,0.87,-0.512,0,0,4955,4745,0,0,0
"9502",51442,-0.587432402820848,0.73,-0.938,0,0,2757,2547,0,0,0
"9503",51444,1.05079470028367,1.21,0.524,0,0,11396,11186,0,0,0
"9504",51447,-0.155841206618826,1.17,0.897,0,0,13297,13087,0,0,0
"9505",51449,0.64016380237055,1,-0.116,0,0,7420,7210,0,0,0
