Column1,GeneSymbol,Cutoff
11483,ANO7,0
14316,ANO8,0
9243,ANO9,0
1396,ANP32A,0
17402,ANP32A,0
1867,ANP32B,0
2563,ANP32B,0
6896,ANP32C,0
6894,ANP32D,0
465,ANP32E,0
17476,ANP32E,0
1316,ANPEP,0
8610,ANPEP,0
17941,ANTXR1,0
3564,ANTXR2,0
1670,ANXA1,0
8881,ANXA1,0
3114,ANXA10,0
383,ANXA11,0
8984,ANXA11,0
8993,ANXA13,0
947,ANXA2,0
8889,ANXA2,0
10187,ANXA2R,0
8916,ANXA3,0
1073,ANXA4,0
8926,ANXA4,0
186,ANXA5,0.5
8934,ANXA5,0
1931,ANXA6,0
8964,ANXA6,0
194,ANXA7,0.5
8976,ANXA7,0
15517,ANXA8,0
17936,ANXA9,0
8999,AOAH,0
7531,AOC1,0
9004,AOC2,0
18615,AOC3,0
9019,AOX1,0
13194,AP1AR,0
1963,AP1B1,0
5194,AP1B1,0
1285,AP1G1,0
5271,AP1G1,0
18850,AP1G2,0
1957,AP1M1,0
18851,AP1M1,0
2120,AP1M2,0
3542,AP1S1,0
18849,AP1S2,0
4066,AP1S3,0
1600,AP2A1,0
5129,AP2A1,0
1784,AP2A2,0
5160,AP2A2,0
1898,AP2B1,0
5229,AP2B1,0
843,AP2M1,0
3541,AP2M1,0
927,AP2S1,0
3543,AP2S1,0
1505,AP3B1,0
18529,AP3B1,0
17401,AP3B2,0
1298,AP3D1,0
18882,AP3D1,0
1164,AP3M1,0
7880,AP3M1,0
2891,AP3M2,0
1034,AP3S1,0
3550,AP3S1,0
2293,AP3S2,0
2710,AP4B1,0
6834,AP4E1,0
19286,AP4M1,0
3069,AP4S1,0
19151,AP5B1,0
13396,AP5M1,0
13127,AP5S1,0
20097,AP5Z1,0
9027,APAF1,0
9067,APBA1,0
9078,APBA2,0
19770,APBA3,0
9088,APBB1,0
1228,APBB1IP,0
12517,APBB1IP,0
9098,APBB2,0
2358,APBB3,0
9108,APC,0
2351,APC2,0
4670,APCDD1,0
5280,APCDD1L,0
9114,APCS,0
1796,APEH,0
9129,APEH,0
698,APEX1,0
9136,APEX1,0
8056,APEX2,0
11653,APH1A,0
17665,APH1B,0
662,API5,0
18492,API5,0
11620,APIP,0
9951,APITD1,0
5770,APLF,0
18810,APLN,0
5578,APLNR,0
9172,APLP1,0
9180,APLP2,0
1372,APMAP,0
13984,APMAP,0
9185,APOA1,0
3973,APOA1BP,0
9195,APOA2,0
9201,APOA4,0
3496,APOA5,0
9228,APOB,0
9272,APOBEC1,0
2877,APOBEC2,0
5760,APOBEC3A,0
19802,APOBEC3B,0
8092,APOBEC3C,0
4386,APOBEC3D,0
14676,APOBEC3G,0
5290,APOBEC3H,0
10571,APOBEC4,0
859,APOBR,0
13541,APOBR,0
9378,APOC1,0
9457,APOC2,0
9485,APOC3,0
9506,APOC4,0
9520,APOD,0
9551,APOE,0
9056,APOF,0
251,APOH,0.5
9592,APOH,0
18507,APOL1,0
7036,APOL2,0
17359,APOL3,0
17358,APOL4,0
17357,APOL5,0
17356,APOL6,0
17461,APOLD1,0
13553,APOM,0
16694,APOO,0
4342,APOOL,0
18069,APOPT1,0
9595,APP,0
2535,APPBP2,0
1756,APPL1,0
7580,APPL1,0
13007,APPL2,0
1084,APRT,0
9601,APRT,0
12689,APTX,0
9668,AQP1,0
18924,AQP10,0
8190,AQP11,0
9883,AQP12A,0
9674,AQP2,0
9688,AQP3,0
9701,AQP4,0
9709,AQP5,0
9719,AQP6,0
9727,AQP7,0
9428,AQP8,0
9741,AQP9,0
5931,AQPEP,0
19923,AQR,0
9750,AR,0
9770,ARAF,0
3513,ARAP1,0
3512,ARAP2,0
15200,ARAP3,0
6678,ARC,0
1832,ARCN1,0
9798,ARCN1,0
9815,AREG,0
20063,AREL1,0
9866,ARF1,0
1230,ARF3,0
9926,ARF3,0
9940,ARF4,0
9976,ARF5,0
1665,ARF6,0
9985,ARF6,0
13389,ARFGAP1,0
1853,ARFGAP2,0
18079,ARFGAP2,0
2046,ARFGAP3,0
7712,ARFGAP3,0
768,ARFGEF1,0
2584,ARFGEF1,0
2583,ARFGEF2,0
1815,ARFIP1,0
8016,ARFIP1,0
6998,ARFIP2,0
2198,ARFRP1,0
9992,ARG1,0
10002,ARG2,0
11430,ARGFX,0
12902,ARGLU1,0
973,ARHGAP1,0
10349,ARHGAP1,0
798,ARHGAP10,0
16852,ARHGAP10,0
20022,ARHGAP11A,0
18910,ARHGAP11B,0
19641,ARHGAP12,0
13487,ARHGAP15,0
975,ARHGAP17,0
12931,ARHGAP17,0
479,ARHGAP18,0
19571,ARHGAP18,0
18406,ARHGAP19,0
14210,ARHGAP20,0
14223,ARHGAP21,0
14444,ARHGAP22,0
17670,ARHGAP24,0
1800,ARHGAP25,0
20126,ARHGAP25,0
6555,ARHGAP26,0
5798,ARHGAP27,0
16986,ARHGAP28,0
19634,ARHGAP29,0
300,ARHGAP30,0
7309,ARHGAP30,0
14166,ARHGAP31,0
19949,ARHGAP32,0
3428,ARHGAP33,0
8643,ARHGAP35,0
5097,ARHGAP36,0
563,ARHGAP4,0
10371,ARHGAP4,0
20102,ARHGAP44,0
10382,ARHGAP5,0
10387,ARHGAP6,0
7035,ARHGAP8,0
376,ARHGAP9,0
15155,ARHGAP9,0
1535,ARHGDIA,0
10396,ARHGDIA,0
690,ARHGDIB,0
10400,ARHGDIB,0
10407,ARHGDIG,0
2000,ARHGEF1,0
19207,ARHGEF1,0
19849,ARHGEF10,0
12971,ARHGEF10L,0
20024,ARHGEF11,0
6781,ARHGEF12,0
6409,ARHGEF15,0
8017,ARHGEF16,0
20026,ARHGEF17,0
6786,ARHGEF18,0
3974,ARHGEF19,0
1967,ARHGEF2,0
19290,ARHGEF2,0
3419,ARHGEF25,0
7589,ARHGEF26,0
15131,ARHGEF28,0
11487,ARHGEF3,0
10993,ARHGEF35,0
10191,ARHGEF37,0
18336,ARHGEF39,0
11486,ARHGEF4,0
17001,ARHGEF5,0
799,ARHGEF6,0
19689,ARHGEF6,0
1311,ARHGEF7,0
18819,ARHGEF7,0
6671,ARHGEF9,0
2038,ARID1A,0
17596,ARID1A,0
14149,ARID1B,0
5672,ARID2,0
5537,ARID3A,0
2634,ARID3B,0
4316,ARID3C,0
14537,ARID4A,0
12110,ARID4B,0
2816,ARID5A,0
17935,ARID5B,0
7372,ARIH1,0
2453,ARIH2,0
10447,ARL1,0
8463,ARL10,0
3433,ARL11,0
10366,ARL13A,0
5781,ARL13B,0
17160,ARL14,0
3640,ARL14EP,0
12577,ARL15,0
9285,ARL16,0
10542,ARL2,0
6942,ARL2BP,0
834,ARL3,0
10558,ARL3,0
2183,ARL4A,0
2182,ARL4C,0
9961,ARL4D,0
7662,ARL5A,0
6174,ARL5B,0
17906,ARL6,0
6650,ARL6IP1,0
11841,ARL6IP4,0
136,ARL6IP5,0.5
2568,ARL6IP5,0
4852,ARL6IP6,0
3955,ARL8A,0
1398,ARL8B,0
13017,ARL8B,0
4160,ARL9,0
12967,ARMC1,0
17779,ARMC10,0
6210,ARMC12,0
17889,ARMC2,0
6077,ARMC3,0
12943,ARMC4,0
16964,ARMC5,0
19537,ARMC6,0
16835,ARMC7,0
7401,ARMC8,0
17213,ARMC9,0
11824,ARMCX1,0
20021,ARMCX2,0
12000,ARMCX3,0
15375,ARMCX5,0
12482,ARMCX6,0
10597,ARNT,0
20105,ARNT2,0
10609,ARNTL,0
13852,ARNTL2,0
2570,ARPC1A,0
1323,ARPC1B,0
2157,ARPC1B,0
1226,ARPC2,0
2171,ARPC2,0
1826,ARPC3,0
2156,ARPC3,0
1654,ARPC4,0
2155,ARPC4,0
1173,ARPC5,0
2154,ARPC5,0
1586,ARPC5L,0
17536,ARPC5L,0
1758,ARPIN,0
9557,ARPIN,0
2756,ARPP19,0
2757,ARPP21,0
10619,ARR3,0
1716,ARRB1,0
10628,ARRB1,0
855,ARRB2,0
10641,ARRB2,0
19435,ARRDC1,0
18427,ARRDC1-AS1,0
7950,ARRDC2,0
14204,ARRDC3,0
19311,ARRDC4,0
15245,ARRDC5,0
265,ARSA,0
