"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","replicate1","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"IFNE",338376,6,0.2233,0.42171,0.9251,0.99913,0.67324,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFNG",3458,6,0.76127,1.2079,0.04632,0.6881,0.22708,0.94395,0,"MedConf","No","MedConf","No","MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Proteasome"
"IFNGR1",3459,6,0.86082,1.1733,0.016823,0.49035,0.24068,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"IFNGR2",3460,6,0.13474,0.22002,0.66931,0.9938,0.82586,0.96346,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFNK",56832,6,0.54693,1.1722,0.24635,0.95107,0.24112,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFNL1",282618,6,0.44309,0.83676,0.44909,0.98007,0.40273,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFNL2",282616,6,0.16607,0.50368,0.75688,0.99455,0.61449,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFNL3",282617,6,0.060245,0.12691,0.4815,0.98209,0.89901,0.97666,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFNL4",101180976,6,0.14442,0.34021,0.6965,0.9938,0.7337,0.94754,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFNLR1",163702,6,0.19339,0.75683,0.83606,0.99668,0.44915,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
