"GeneSymbol","X","EntrezID","Zscore","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","KEGG.6","KEGG.class.iteration6","Network.6","Network.class.iteration6","Pathway"
"Riiad1",7117,66353,0.012,0,1,"Absent",0.102,0.102,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
"Rilpl1",9904,75695,0.252,0,1,"Absent",0.045,0.045,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
"Rilpl2",10414,80291,1.127,0,1,"Absent",0.238,0.238,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
"Rimkla",12154,194237,1.425,0,1,"Absent",0.67,0.67,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"Rims1",11769,116837,1.313,0,0,"Absent",NA,0.155,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"Rims2",11770,116838,0.084,0,1,"Absent",0.2,0.2,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,NA
"Rims3",14332,242662,1.679,0,0,"Absent",0.758,0.758,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
"Rims4",14281,241770,-0.26,0,1,"Absent",0.001,0.001,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
"Rin1",13145,225870,-0.046,0,1,"Absent",0.142,0.142,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,NA
"Rin2",9545,74030,0.093,0,1,"Absent",0.041,0.041,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
"Rin3",12860,217835,0.448,0,1,"Absent",0.1,0.1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
"Ring1",3734,19763,1.242,0,1,"Absent",0.611,0.611,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
"Rinl",15999,320435,-0.202,0,1,"Absent",0.011,0.011,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
"Rint1",9349,72772,1.766,0,1,"Absent",0.653,0.653,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,NA
