"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","Pathway"
"MXI1",4601,6,0.119,0.10219,0.35622,6041,1,0.38488,0.084754,0.19676,1,3810,2,0.38488,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MXRA5",25878,6,0.002126,0.0012831,0.107324,210,2,0.67635,0.0274,0.09772,1,1625,2,0.67635,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MXRA7",439921,6,0.18153,0.1405,0.374342,8083,2,-0.6228,0.53233,0.70063,1,13089,1,-0.6228,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MXRA8",54587,6,0.87757,0.7505,0.853951,19064,1,0.94089,0.2,0.39524,1,7193,2,0.94089,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYADM",91663,6,0.39879,0.29666,0.495801,12931,3,-0.073179,0.35235,0.53407,1,10106,1,-0.073179,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYADML2",255275,6,0.25595,0.22415,0.462088,10210,2,0.39914,0.039161,0.13102,1,2188,2,0.39914,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYB",4602,6,0.14394,0.11804,0.359646,6909,3,-0.46258,0.65953,0.74913,1,14439,1,-0.46258,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"MYBBP1A",10514,6,0.2426,0.20884,0.451636,9856,4,-0.79648,0.75354,0.81456,1,15785,1,-0.79648,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYBL1",4603,5,0.46376,0.34366,0.531775,14079,2,0.37546,0.017862,0.065528,1,1146,3,0.37546,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYBL2",4605,6,0.51188,0.38653,0.559621,14893,2,-0.58533,0.23472,0.42787,1,7855,1,-0.58533,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"MYBPC1",4604,6,0.009818,0.015637,0.329107,850,3,-0.24769,0.85332,0.89718,1,17659,0,-0.24769,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYBPC2",4606,5,0.18462,0.14749,0.381783,8152,3,-0.87206,0.048244,0.12199,1,2573,1,-0.87206,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYBPC3",4607,6,0.070024,0.070706,0.33459,4282,2,0.6168,0.25783,0.43943,1,8340,2,0.6168,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYBPH",4608,6,0.14117,0.11714,0.359646,6802,3,-0.93582,0.90757,0.94887,1,18712,0,-0.93582,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYBPHL",343263,6,1,0.99999,1,20693,0,3.0025,0.00000493,0.000076,0.329703,5,6,3.0025,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"MYC",4609,5,0.60031,0.44638,0.612126,16095,1,1.5025,0.0054085,0.027405,1,449,3,1.5025,"MedConf","No","MedConf","No","MedConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","MAPK signaling pathway, Wnt signaling pathway, Cell cycle, Hippo signaling pathway, PI3K-Akt signaling pathway, Cellular senescence"
"MYCBP",26292,6,0.26412,0.22646,0.462088,10363,3,-0.14402,0.4825,0.67743,1,12516,2,-0.14402,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYCBPAP",84073,6,0.81843,0.69075,0.805523,18560,2,0.53322,0.18949,0.38492,1,7007,2,0.53322,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYCL",4610,6,0.65951,0.51013,0.660306,16721,2,0.83488,0.42838,0.61865,1,11506,1,0.83488,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYCN",4613,6,0.95551,0.85516,0.937054,19843,1,0.94207,0.69142,0.76535,1,14844,1,0.94207,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYCT1",80177,6,0.44356,0.33298,0.523192,13743,2,2.3595,0.0039794,0.026427,1,320,4,2.3595,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"MYD88",4615,6,0.47732,0.36173,0.54375,14330,2,1.0098,0.12585,0.28083,1,5132,3,1.0098,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"MYEF2",50804,6,0.82102,0.69423,0.808401,18588,1,1.4098,0.066626,0.1736,1,3229,3,1.4098,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MYEOV",26579,6,0.98199,0.93317,0.997988,20313,0,0.48055,0.015462,0.059717,1,1024,2,0.48055,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
