"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"SSX4B",548313,4,0.19017,0.65086,1,8408,1,-6.303,0.30253,0.43747,1,6184,0,-6.303,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSX5",6758,6,0.21792,0.76241,1,9164,4,-8.1788,0.051759,0.08177,1,1053,1,-8.1788,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSX7",280658,5,0.033138,0.35554,1,2480,3,-9.0962,0.73948,0.78748,1,15336,0,-9.0962,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ST13",6767,4,0.78475,0.92521,1,18018,1,-3.7741,0.26878,0.40312,1,5475,0,-3.7741,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ST14",6768,6,0.58544,0.934,1,15795,2,-6.6961,0.3924,0.54535,1,8096,0,-6.6961,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ST18",9705,6,0.49724,0.91161,1,14499,3,-7.592,0.24071,0.31037,1,4879,0,-7.592,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ST20",400410,4,0.60498,0.88783,1,16101,2,-4.4789,0.38193,0.54814,1,7887,0,-4.4789,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ST20-MTHFS",100528021,1,0.91391,0.86587,1,19364,0,-3.0133,0.086085,0.13413,1,1734,0,-3.0133,"LowConf","No","0","No","0","No","0","No","0",NA
"ST3GAL1",6482,6,0.094695,0.60799,1,5430,3,-7.3863,0.43405,0.60421,1,9034,0,-7.3863,"LowConf","No","0","No","0","No","0","No","0",NA
"ST3GAL2",6483,6,0.76089,0.96464,1,17790,2,-7.0509,0.41937,0.58153,1,8684,0,-7.0509,"LowConf","No","0","No","0","No","0","No","0",NA
"ST3GAL3",6487,6,0.85964,0.97806,1,18811,1,-7.2858,0.73973,0.81264,1,15347,0,-7.2858,"LowConf","No","0","No","0","No","0","No","0",NA
"ST3GAL4",6484,6,0.10467,0.63161,1,5849,4,-7.8656,0.93899,0.92731,1,19362,0,-7.8656,"LowConf","No","0","No","0","No","0","No","0",NA
"ST3GAL5",8869,6,0.99073,0.99548,1,20457,0,-6.0836,0.016496,0.044111,1,371,1,-6.0836,"LowConf","No","0","No","0","No","0","No","0",NA
"ST3GAL6",10402,6,0.3611,0.8655,1,12419,3,-7.97,0.62058,0.76568,1,12800,0,-7.97,"LowConf","No","0","No","0","No","0","No","0",NA
"ST5",6764,5,0.12756,0.61177,1,6577,1,-7.1322,0.64332,0.73658,1,13259,0,-7.1322,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ST6GAL1",6480,6,0.30587,0.83125,1,11286,3,-7.4628,0.68861,0.78895,1,14252,0,-7.4628,"LowConf","No","0","No","0","No","0","No","0",NA
"ST6GAL2",84620,6,0.083566,0.58916,1,4939,5,-8.0796,0.88514,0.89367,1,18260,0,-8.0796,"LowConf","No","0","No","0","No","0","No","0",NA
"ST6GALNAC1",55808,6,0.029845,0.36788,1,2270,5,-8.2663,0.88514,0.89367,1,18275,0,-8.2663,"LowConf","No","0","No","0","No","0","No","0",NA
"ST6GALNAC2",10610,6,0.25791,0.80355,1,10185,4,-7.8875,0.65403,0.77708,1,13527,0,-7.8875,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ST6GALNAC3",256435,6,0.064186,0.52894,1,4092,5,-8.2987,0.97625,0.95808,1,20141,0,-8.2987,"LowConf","No","0","No","0","No","0","No","0",NA
