"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"12460",212647,-2.739,"Aldh4a1",0,1,"Present",0.079,0.079,"HitbyZS","HitbyNA","HitbyCSA",1
"12461",212670,0.73,"Catsper2",0,1,"Absent",0.073,0.073,"0","0","0",0
"12462",212679,1.389,"Mars2",0,1,"Present",0.072,0.072,"0","0","0",0
"12463",212684,0.855,"NA",0,0.5,"Absent",NA,0.055,"0","0","0",0
"12464",212706,-0.794,"N4bp3",0,1,"Absent",0.004,0.004,"0","0","0",0
"12465",212712,-0.434,"Satb2",0,1,"Absent",0.461,0.461,"0","0","0",0
"12466",212733,3.017,"Ccdc64b",0,1,"Absent",0.881,0.881,"0","0","0",0
"12467",212772,-0.947,"Arl14ep",0,1,"Absent",0.142,0.142,"0","0","0",0
"12468",212862,0.99,"Chpt1",0,1,"Present",0.308,0.308,"0","0","0",0
"12469",212871,-1.381,"NA",0,0.5,"Absent",NA,0.055,"0","0","0",0.5
"12470",212880,0.314,"Ddx46",0,1,"Present",NA,0.055,"0","0","0",0
"12471",212898,-1.069,"Dse",0,0,"Present",0.032,0.032,"0","0","0",0
"12472",212919,-0.463,"Kctd7",0,1,"Absent",0.118,0.118,"0","0","0",0
"12473",212937,0.654,"Tifab",0,1,"Absent",0.525,0.525,"0","0","0",0
"12474",212974,0.398,"Athl1",0,1,"Absent",0.551,0.551,"0","0","0",0
"12475",212980,1.133,"Slc45a3",0,1,"Absent",0.785,0.785,"0","0","0",0
"12476",212986,0.92,"Scfd2",0,0,"Absent",0.406,0.406,"0","0","0",0
"12477",212989,0.682,"Best2",0,0,"Present",0.336,0.336,"0","0","0",0
"12478",212996,1.69,"Wbscr17",0,0,"Present",0.148,0.148,"0","0","0",0
"12479",212998,-0.454,"BC016579",0,0,"Absent",0.143,0.143,"0","0","0",0
"12480",212999,-0.659,"Tnpo2",0,1,"Absent",0.244,0.244,"0","0","0",0
"12481",213006,-0.182,"Mfsd4",0,1,"Absent",0.036,0.036,"0","0","0",0
"12482",213012,-0.025,"Abhd10",0,1,"Absent",0.04,0.04,"0","0","0",0
"12483",213019,-1.857,"Pdlim2",0,1,"Absent",0.062,0.062,"HitbyZS","HitbyNA","HitbyCSA",1
"12484",213027,-0.676,"Evi5l",0,0.5,"Absent",0.037,0.037,"0","0","0",0
"12485",213053,0.145,"Slc39a14",0,1,"Absent",0.012,0.012,"0","0","0",0
"12486",213054,-0.067,"Gabpb2",0,1,"Absent",0.004,0.004,"0","0","0",0
"12487",213056,0.283,"Fam126b",0,1,"Absent",0.07,0.07,"0","0","0",0
"12488",213068,-2.212,"Tmem71",0,0,"Absent",0.06,0.06,"HitbyZS","HitbyNA","HitbyCSA",0.5
"12489",213081,0.24,"Wdr19",0,0,"Absent",0.016,0.016,"0","0","0",0
"12490",213084,0.72,"Cdkl3",0,1,"Absent",0.354,0.354,"0","0","0",0
"12491",213119,-1.538,"Itga10",0,1,"Present",0.099,0.099,"0","0","0",0.5
"12492",213171,1.236,"Prss27",0,0,"Absent",0.398,0.398,"0","0","0",0
"12493",213211,-0.844,"Rnf26",0,1,"Absent",0.257,0.257,"0","0","0",0
"12494",213233,0.044,"Tapbpl",0,1,"Absent",0.051,0.051,"0","0","0",0
"12495",213234,0.226,"Zbbx",0,0,"Absent",0.326,0.326,"0","0","0",0
"12496",213236,1.365,"Dnd1",0,1,"Absent",0.826,0.826,"0","0","0",0
"12497",213262,2.093,"Fstl5",0,0,"Absent",0.94,0.94,"0","0","0",0
"12498",213272,-2.272,"Txndc2",0,0,"Absent",0.089,0.089,"HitbyZS","HitbyNA","HitbyCSA",0.5
"12499",213311,1.108,"Fbxl21",0,0,"Absent",0.521,0.521,"0","0","0",0
"12500",213326,0.093,"Scyl2",0,1,"Absent",0.007,0.007,"0","0","0",0
"12501",213350,1.577,"Pddc1",0,1,"Absent",0.401,0.401,"0","0","0",0
"12502",213389,-0.708,"Prdm9",0,1,"Absent",NA,0.055,"0","0","0",0
"12503",213391,-0.244,"Rassf4",0,1,"Absent",0.018,0.018,"0","0","0",0
