"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"3963",20397,0.536,"Sgpl1",0,1,"Present",0.001,0.001,"0","0","0",0
"3964",20399,0.968,"Sh2b1",0,1,"Present",0.098,0.098,"0","0","0",0
"3965",20400,0.483,"Sh2d1a",0,0,"Present",0.055,0.055,"0","0","0",0
"3966",20401,-0.09,"Sh3bp1",0,1,"Absent",0.454,0.454,"0","0","0",0
"3967",20402,0.128,"Zfp106",0,1,"Absent",0.014,0.014,"0","0","0",0
"3968",20403,-0.306,"Itsn2",0,1,"Absent",0.074,0.074,"0","0","0",0
"3969",20404,0.356,"Sh3gl2",0,0,"Present",0,0,"0","0","0",0
"3970",20405,0.571,"Sh3gl1",0,1,"Present",0.058,0.058,"0","0","0",0
"3971",20408,-0.475,"Sh3gl3",0,1,"Present",0.045,0.045,"0","0","0",0
"3972",20409,-0.356,"Ostf1",0,1,"Absent",0.001,0.001,"0","0","0",0
"3973",20410,-0.083,"Sorbs3",0,1,"Absent",0,0,"0","0","0",0
"3974",20411,0.093,"Sorbs1",0,1,"Present",0,0,"0","0","0",0
"3975",20415,3.04,"Shbg",0,0,"Absent",0.934,0.934,"0","0","0",0
"3976",20416,-0.688,"Shc1",0,1,"Present",0.015,0.015,"0","0","0",0
"3977",20418,1.316,"Shc3",0,0,"Present",0.151,0.151,"0","0","0",0
"3978",20419,-0.107,"Shcbp1",0,1,"Absent",0,0,"0","0","0",0
"3979",20420,-1.46,"Shd",0,0,"Absent",0.064,0.064,"HitbyZS","HitbyNA","HitbyCSA",0.5
"3980",20422,2.11,"Shfm1",0,1,"Present",0.394,0.394,"0","0","0",0
"3981",20423,1.18,"Shh",0,0,"Present",0.134,0.134,"0","0","0",0
"3982",20425,1.223,"Shmt1",0,1,"Present",0.06,0.06,"0","0","0",0
"3983",20429,-0.359,"Shox2",0,1,"Absent",0.031,0.031,"0","0","0",0
"3984",20430,1.16,"Cyfip1",0,1,"Present",0.153,0.153,"0","0","0",0
"3985",20431,0.04,"Pmel",0,1,"Absent",0.009,0.009,"0","0","0",0
"3986",20437,0.033,"Siah1a",0,1,"Present",0.002,0.002,"0","0","0",0
"3987",20438,0.252,"Siah1b",0,1,"Present",0.058,0.058,"0","0","0",0
"3988",20439,0.166,"Siah2",0,1,"Absent",0.152,0.152,"0","0","0",0
"3989",20440,-0.27,"St6gal1",0,1,"Present",0,0,"0","0","0",0
"3990",20441,1.571,"St3gal3",0,1,"Present",0.327,0.327,"0","0","0",0
"3991",20442,-0.409,"St3gal1",0,1,"Present",0.072,0.072,"0","0","0",0
"3992",20443,-0.43,"St3gal4",0,1,"Present",0.001,0.001,"0","0","0",0
"3993",20444,0.309,"St3gal2",0,1,"Present",0.055,0.055,"0","0","0",0
"3994",20445,0.264,"St6galnac1",0,0,"Present",0.015,0.015,"0","0","0",0
"3995",20446,1.052,"St6galnac2",0,0,"Absent",0.055,0.055,"0","0","0",0
"3996",20447,-0.932,"St6galnac3",0,0,"Present",0,0,"0","0","0",0
"3997",20448,1.204,"St6galnac4",0,1,"Present",0.062,0.062,"0","0","0",0
"3998",20449,0.078,"St8sia1 ,St8sia1",0,0,"Present",0,0,"0","0","0",0
"3999",20450,3.364,"St8sia2",0,0,"Absent",0.465,0.465,"0","0","0",0
"4000",20451,-1.316,"St8sia3",0,0,"Absent",0,0,"HitbyZS","HitbyNA","0",0
