Column1,EntrezID,Zscore,GeneSymbol,NetworkDegree,Exp_Stat_Value,KEGGdb,LowestCSAscore,LowestCSAscoreCorrected,ZSdes,NAdes,CSAdes,Replicate1
13769,683,-2.863,BST1,0,1,Present,0.001,0.001,HitbyZS,HitbyNA,0,0
11732,5687,-2.852,PSMA6,32,1,Present,0.428,0.428,HitbyZS,HitbyNA,HitbyCSA,1
3572,1958,-2.846,EGR1,5,1,Present,0.059,0.059,HitbyZS,HitbyNA,HitbyCSA,1
12231,57699,-2.835,CPNE5,0,1,Absent,0.079,0.079,HitbyZS,HitbyNA,HitbyCSA,1
11032,5529,-2.829,PPP2R5E,1,1,Present,0.114,0.114,HitbyZS,HitbyNA,HitbyCSA,1
8793,4342,-2.828,MOS,0,1,Present,0.28,0.28,HitbyZS,HitbyNA,HitbyCSA,1
12082,57492,-2.828,ARID1B,4,1,Absent,0.123,0.123,HitbyZS,HitbyNA,HitbyCSA,1
848,10974,-2.822,ADIRF,0,1,Absent,0.08,0.08,HitbyZS,HitbyNA,HitbyCSA,1
17365,9270,-2.82,ITGB1BP1,2,1,Absent,0.357,0.357,HitbyZS,HitbyNA,HitbyCSA,1
11031,552891,-2.813,DNAJC25-GNG10,0,1,Absent,0.055,0.055,HitbyZS,HitbyNA,HitbyCSA,1
1695,124093,-2.812,CCDC78,0,1,Absent,0.002,0.002,HitbyZS,HitbyNA,0,0
2239,138307,-2.812,LCN8,0,1,Absent,0.077,0.077,HitbyZS,HitbyNA,HitbyCSA,1
1384,116068,-2.811,LYSMD3,0,1,Absent,0.086,0.086,HitbyZS,HitbyNA,HitbyCSA,1
4481,23085,-2.807,ERC1,6,1,Absent,0.061,0.061,HitbyZS,HitbyNA,HitbyCSA,1
12098,57513,-2.803,CASKIN2,0,1,Absent,0.269,0.269,HitbyZS,HitbyNA,HitbyCSA,1
13603,6631,-2.803,SNRPC,5,1,Present,0.195,0.195,HitbyZS,HitbyNA,HitbyCSA,1
8056,388552,-2.8,BLOC1S3,1,0,Absent,0.219,0.219,HitbyZS,HitbyNA,HitbyCSA,0.5
10258,5366,-2.795,PMAIP1,2,1,Present,0.059,0.059,HitbyZS,HitbyNA,HitbyCSA,1
3682,200132,-2.794,TCTEX1D1,0,1,Absent,0.3,0.3,HitbyZS,HitbyNA,HitbyCSA,1
918,11061,-2.791,LECT1,0,1,Absent,0.075,0.075,HitbyZS,HitbyNA,HitbyCSA,1
