"GeneSymbol","EntrezID","WS5219_1_S1_L001_R1_001_seq20_MATCHED1","WS5219_2_S2_L001_R1_001_seq20_MATCHED1","WS5219_3_S3_L001_R1_001_seq20_MATCHED1","Confidence","InputCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"1110025L11Rik","68637",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110032A03Rik","68721",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110032F04Rik","68725",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110038F14Rik","117171",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110051M20Rik","228356",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110057P08Rik","68844",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110059E24Rik","66206",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110059G10Rik","66202",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110065P20Rik","68920",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1190005I06Rik","68918",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1190007I07Rik","544717",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1300017J02Rik","71775",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"1500009C09Rik","76505",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1500009L16Rik","69784",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1500011B03Rik","66236",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1500015O10Rik","78896",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1520401A03Rik","320309",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1600002K03Rik","69770",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1600012H06Rik","67912",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1600014C10Rik","72244",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1600014C23Rik","72240",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1600015I10Rik","69761",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700001C02Rik","75434",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700001C19Rik","75462",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700001F09Rik","71826",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700001J03Rik","69282",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700001K19Rik","66323",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700001L19Rik","69315",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700001O22Rik","73598",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700001P01Rik","72215",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700003E16Rik","71837",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700003F12Rik","75480",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700003H04Rik","384775",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700006A11Rik","71824",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700007K13Rik","69327",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700008P02Rik","69347",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700009N14Rik","75471",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"1700010B08Rik","75485",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700010I14Rik","66931",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700011L22Rik","67687",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700011M02Rik","75443",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700012A03Rik","76382",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700012B07Rik","69324",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700012B09Rik","69325",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700012P22Rik","69364",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700013D24Rik","76921",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700013F07Rik","75504",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700013G24Rik","69380",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700013H16Rik","75514",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700014D04Rik","102638268",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700015F17Rik","381716",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700015G11Rik","100503036",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700016C15Rik","69428",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700016D06Rik","76413",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700016D08Rik","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700016H13Rik","74218",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700016K19Rik","74230",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700017B05Rik","74211",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700017D01Rik","69369",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700017N19Rik","66605",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700018B08Rik","76405",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700018F24Rik","69396",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700019A02Rik","69397",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700019D03Rik","67080",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700019N19Rik","67507",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700020A23Rik","75656",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700020D05Rik","75555",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700020L24Rik","66330",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700020N01Rik","67692",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700020N15Rik","75509",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700021F05Rik","67851",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700021F07Rik","72221",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
