"GeneSymbol","EntrezID","WS5219_1_S1_L001_R1_001_seq20_MATCHED1","WS5219_2_S2_L001_R1_001_seq20_MATCHED1","WS5219_3_S3_L001_R1_001_seq20_MATCHED1","Confidence","InputCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"Pogk","71592",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Poglut1","224143",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pogz","229584",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pola1","18968",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pola2","18969",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polb","18970",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pold1","18971",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pold2","18972",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pold3","67967",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pold4","69745",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Poldip2","67811",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Poldip3","73826",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pole","18973",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pole2","18974",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pole3","59001",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pole4","66979",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polg","18975",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polg2","50776",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polh","80905",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Poli","26447",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polk","27015",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Poll","56626",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polm","54125",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Poln","272158",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polq","77782",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Polr1a","20019",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr1b","20017",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr1c","20016",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr1d","20018",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr1e","64424",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2a","20020",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2b","231329",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2c","20021",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2d","69241",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2e","66420",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2f","69833",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2g","67710",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2h","245841",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2i","69920",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2j","20022",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2k","17749",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Polr2l","66491",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr2m","28015",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Polr3a","218832",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr3b","70428",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr3c","74414",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr3d","67065",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr3e","26939",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr3f","70408",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr3g","67486",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr3gl","69870",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr3h","78929",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polr3k","67005",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Polrmt","216151",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pom121","107939",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pom121l12","432536",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pom121l2","195236",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pomc","18976",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pomgnt1","68273",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pomgnt2","215494",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pomk","74653",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pomp","66537",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pomt1","99011",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pomt2","217734",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pon1","18979",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pon2","330260",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pon3","269823",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pop1","67724",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pop4","66161",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pop5","117109",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pop7","74097",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Popdc2","64082",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Popdc3","78977",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Por","18984",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Porcn","53627",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Postn","50706",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pot1a","101185",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pot1b","72836",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Poteg","70952",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou1f1","18736",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou2af1","18985",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou2f1","18986",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou2f2","18987",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou2f3","18988",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou3f1","18991",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou3f2","18992",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou3f3","18993",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou3f4","18994",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou4f1","18996",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou4f2","18997",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou4f3","18998",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou5f1","18999",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pou5f2","75507",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou6f1","19009",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pou6f2","218030",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pp2d1","110332",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppa1","67895",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppa2","74776",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppan","235036",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppara","19013",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppard","19015",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pparg","19016",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppargc1a","19017",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppargc1b","170826",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppat","231327",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppbp","57349",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppcdc","66812",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppcs","106564",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppdpf","66496",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppef1","237178",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppef2","19023",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppfia1","233977",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppfia2","327814",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppfia3","76787",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppfia4","68507",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppfibp1","67533",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppfibp2","19024",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pphln1","223828",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppia","268373",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppib","19035",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppic","19038",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppid","67738",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Ppie","56031",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppif","105675",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppig","228005",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppih","66101",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppil1","68816",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppil2","66053",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppil3","70225",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppil4","67418",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppil6","73075",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppip5k1","327655",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppip5k2","227399",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppl","19041",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppm1a","19042",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppm1b","19043",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppm1d","53892",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppm1e","320472",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppm1f","68606",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppm1g","14208",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppm1h","319468",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppm1j","71887",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppm1k","243382",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppm1l","242083",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppm1m","67905",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppm1n","232941",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppme1","72590",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppox","19044",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1ca","19045",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Ppp1cb","19046",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Ppp1cc","19047",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Ppp1r10","52040",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r11","76497",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r12a","17931",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r12b","329251",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r12c","232807",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r13b","21981",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r13l","333654",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r14a","68458",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r14b","18938",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r14c","76142",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r14d","72112",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r15a","17872",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r15b","108954",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r16a","73062",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r16b","228852",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r17","19051",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r18","76448",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r1a","58200",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r1b","19049",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r1c","75276",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r2","66849",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r21","73825",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r26","241289",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r27","68701",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r32","67752",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r35","69871",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r36","210762",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r37","232947",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r3a","140491",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r3b","244416",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r3c","53412",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r3d","228966",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r3e","105651",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r3f","54646",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp1r3g","76487",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r42","69312",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r7","66385",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r8","100336",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r9a","243725",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp1r9b","217124",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp2ca","19052",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2cb","19053",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r1a","51792",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r1b","73699",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r2a","71978",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r2b","72930",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r2c","269643",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r2d","52432",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r3a","235542",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r3c","59032",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r3d","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp2r5a","226849",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r5b","225849",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r5c","26931",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r5d","21770",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp2r5e","26932",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp3ca","19055",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Ppp3cb","19056",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Ppp3cc","19057",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Ppp3r1","19058",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Ppp3r2","19059",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Ppp4c","56420",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp4r1","70351",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp4r2","232314",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp4r3a","68734",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp4r3b","104570",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp4r4","74521",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp5c","19060",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppp6c","67857",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp6r1","243819",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp6r2","71474",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppp6r3","52036",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pprc1","226169",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppt1","19063",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Ppt2","54397",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pptc7","320717",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppwd1","238831",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Ppy","19064",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pqbp1","54633",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Pqlc1","66943",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pqlc2","212555",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pqlc3","217430",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pradc1","73327",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Praf2","54637",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prag1","244418",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pram1","378460",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prame","75829",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramef12","77632",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramef17","626943",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramef20","627009",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramef25","329984",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramef6","195555",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramef8","242736",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramel1","83491",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramel3","83565",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramel4","347710",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramel5","384077",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Pramel6","347711",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prap1","22264",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prb1","381833",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prc1","233406",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prcc","94315",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prcd","100038570",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prcp","72461",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prdm1","12142",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm10","382066",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm11","100042784",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm12","381359",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm13","230025",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm14","383491",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm15","114604",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm16","70673",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm2","110593",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prdm4","72843",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prdm5","70779",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm6","225518",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prdm8","77630",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdm9","213389",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prdx1","18477",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prdx2","21672",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdx3","11757",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdx4","53381",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prdx5","54683",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prdx6","11758",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prdx6b","320769",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Preb","50907",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prelid1","66494",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prelid2","77619",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prelid3a","225655",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prelid3b","66390",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prelp","116847",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prep","19072",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prepl","213760",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prex1","277360",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Prex2","109294",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prf1","18646",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Prg2","19074",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Prg3","53856",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
