,GeneSymbol,EntrezID,Zscore,OffTarget_pValue,AssignedScore
383,ADSS,159,-0.233,1,0
384,ADSSL1,122622,0.579,1,0
385,ADTRP,84830,0.378,1,0
386,AEBP1,165,-1.361,1,0.5
387,AEBP2,121536,-0.422,1,0
388,AEN,64782,-0.62,1,0
389,AES,166,0.516,1,0
390,AFAP1,60312,0.45,1,0
391,AFAP1L1,134265,-0.06,1,0
392,AFAP1L2,84632,0.938,1,0
393,AFDN,4301,-0.468,1,0
394,AFDN-DT,653483,0.744,1,0
395,AFF1,4299,0.492,1,0
396,AFF2,2334,0.218,1,0
397,AFF3,3899,0.118,1,0
398,AFF4,27125,0.498,1,0
399,AFG1L,246269,-1.512,1,0.5
400,AFG3L2,10939,0.318,1,0
401,AFM,173,-0.396,0.233,0
402,AFMID,125061,-0.418,0.262,0
403,AFP,174,-1.642,1,0.5
404,AFTPH,54812,0.49,1,0
405,AGA,175,0.341,1,0
406,AGAP1,116987,0.351,1,0
407,AGAP2,116986,0.786,1,0
408,AGAP3,116988,0.762,1,0
409,AGAP4,119016,-0.114,1,0
410,AGAP6,414189,-0.489,1,0
411,AGAP7P,653268,1.68,1,0
412,AGBL1,123624,-1.557,1,0.5
413,AGBL2,79841,-1.095,0.518,0.5
414,AGBL3,340351,0.519,1,0
415,AGBL4,84871,-0.78,1,0
416,AGBL5,60509,0.254,1,0
417,AGER,177,-0.796,1,0
418,AGFG1,3267,-1.246,1,0.5
419,AGFG2,3268,1.252,1,0
420,AGGF1,55109,0.819,1,0
421,AGK,55750,1.93,1,0
422,AGL,178,0.58,1,0
423,AGMAT,79814,0.438,1,0
424,AGMO,392636,-0.419,1,0
425,AGO1,26523,1.03,1,0
426,AGO2,27161,1.012,1,0
427,AGO3,192669,0.034,1,0
428,AGO4,192670,-0.705,1,0
429,AGPAT1,10554,-0.203,1,0
430,AGPAT2,10555,-0.335,1,0
431,AGPAT3,56894,0.48,1,0
432,AGPAT4,56895,0.063,1,0
433,AGPAT5,55326,0.753,1,0
434,AGPS,8540,1.44,1,0
435,AGR2,10551,-2.122,0.417,1
436,AGR3,155465,-0.338,1,0
437,AGRN,375790,-2.667,1,1
438,AGRP,181,-0.44,0.795,0
439,AGT,183,-0.848,1,0
440,AGTPBP1,23287,0.477,1,0
441,AGTR1,185,0.184,1,0
442,AGTR2,186,2.301,1,0
443,AGTRAP,57085,0.605,1,0
444,AGXT,189,-0.897,1,0
445,AGXT2,64902,-0.312,1,0
446,AHCTF1,25909,0.37,1,0
447,AHCY,191,-0.318,1,0
448,AHCYL1,10768,-0.548,0.647,0
449,AHCYL2,23382,-0.319,1,0
450,AHDC1,27245,0.992,1,0
451,AHI1,54806,0.47,1,0
452,AHNAK,79026,-0.446,1,0
453,AHR,196,-0.276,1,0
454,AHRR,57491,-1.099,1,0.5
455,AHSA1,10598,-1.073,1,0.5
456,AHSA2P,130872,-0.556,1,0
457,AHSG,197,0.436,1,0
458,AHSP,51327,0.464,1,0
459,AICDA,57379,0.463,1,0
460,AIDA,64853,0.73,1,0
461,AIF1,199,-0.286,1,0
462,AIF1L,83543,0.81,1,0
463,AIFM1,9131,-0.247,1,0
464,AIFM2,84883,0.941,1,0
465,AIFM3,150209,1.476,1,0
466,AIG1,51390,0.922,1,0
467,AIM2,9447,1.661,1,0
468,AIMP1,9255,-0.43,1,0
469,AIMP2,7965,-0.067,1,0
470,AIP,9049,0.144,1,0
471,AIPL1,23746,-0.087,1,0
472,AIRE,326,-1.424,1,0.5
473,AJAP1,55966,0.338,1,0
474,AJM1,389813,-1.024,1,0.5
475,AJUBA,84962,0.296,1,0
476,AK1,203,0.781,1,0
477,AK2,204,-0.406,1,0
478,AK3,50808,-0.404,1,0
479,AK4,205,-1.854,1,1
480,AK5,26289,0.994,1,0
481,AK7,122481,-2.192,1,1
482,AK8,158067,0.507,1,0
483,AK9,221264,0.672,1,0
484,AKAP1,8165,-0.62,1,0
485,AKAP10,11216,0.144,1,0
486,AKAP11,11215,-0.613,1,0
487,AKAP12,9590,-0.418,1,0
488,AKAP13,11214,-0.134,1,0
489,AKAP14,158798,-0.304,1,0
490,AKAP17A,8227,-1.851,1,1
491,AKAP2,11217,1.817,1,0
492,AKAP3,10566,0.374,1,0
493,AKAP4,8852,0.862,1,0
494,AKAP5,9495,-0.329,1,0
495,AKAP6,9472,1.708,1,0
496,AKAP7,9465,-0.483,1,0
497,AKAP8,10270,0.018,1,0
498,AKAP8L,26993,0.879,1,0
499,AKAP9,10142,-0.474,1,0
500,AKIP1,56672,0.691,1,0
501,AKIRIN1,79647,-0.844,1,0
502,AKIRIN2,55122,-0.368,1,0
503,AKNA,80709,-0.174,1,0
504,AKNAD1,254268,1.128,1,0
505,AKR1A1,10327,-1.376,1,0.5
506,AKR1B1,231,0.511,1,0
507,AKR1B10,57016,0.426,1,0
508,AKR1B15,441282,-0.805,1,0
509,AKR1C1,1645,-0.218,1,0
510,AKR1C2,1646,1.78,1,0
511,AKR1C3,8644,-0.15,0.363,0
512,AKR1C4,1109,0.516,1,0
513,AKR1C6P,389932,0.045,1,0
514,AKR1C8P,340811,-0.017,1,0
515,AKR1D1,6718,1.857,1,0
516,AKR1E2,83592,-0.608,1,0
517,AKR7A2,8574,-0.253,1,0
518,AKR7A3,22977,-0.615,1,0
519,AKR7L,246181,-0.253,1,0
520,AKT1,207,0.506,1,0
521,AKT1S1,84335,0.439,1,0
522,AKT2,208,-0.516,1,0
523,AKT3,10000,-0.56,1,0
524,AKTIP,64400,0.283,1,0
525,ALAD,210,0.683,1,0
526,ALAS1,211,-1.003,1,0.5
527,ALAS2,212,-2.446,1,0.5
528,ALB,213,0.392,1,0
529,ALCAM,214,-1.494,1,0.5
530,ALDH16A1,126133,0.243,1,0
531,ALDH18A1,5832,-0.204,1,0
532,ALDH1A1,216,-0.113,1,0
533,ALDH1A2,8854,0.758,1,0
534,ALDH1A3,220,0.284,1,0
535,ALDH1B1,219,-0.428,1,0
536,ALDH1L1,10840,-0.802,1,0
537,ALDH1L2,160428,0.903,1,0
538,ALDH2,217,-0.817,1,0
539,ALDH3A1,218,0.886,1,0
540,ALDH3A2,224,-1.502,1,0.5
541,ALDH3B1,221,0.278,1,0
542,ALDH3B2,222,0.88,1,0
