"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"HSF2BP",11077,6,-0.013154,-0.051796,0.0037793,0.022301,0.95869,0.99155,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSF4",3299,6,0.045619,0.14773,0.0096327,0.042749,0.88255,0.97912,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSF5",124535,6,0.00068493,0.0018937,0.0046089,0.025361,0.99849,0.9997,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSFX1",100506164,5,0.38519,1.0271,0.5521,0.69063,0.30438,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSFX2",100130086,2,0.10921,0.1604,0.17491,0.31816,0.87257,0.97679,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSFY1",86614,5,0.48229,0.99127,0.96299,0.97713,0.32156,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSFY2",159119,1,0.58303,0.4884,0.84159,0.90182,0.62527,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSH2D",84941,6,0.28916,0.56941,0.22174,0.37315,0.56908,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSP90AA1",3320,6,0.26767,0.82099,0.17896,0.32326,0.41165,0.95824,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"HSP90AB1",3326,6,-0.096124,-0.22436,0.00092179,0.008,0.82248,0.96892,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"HSP90B1",7184,6,0.024271,0.067862,0.0065908,0.032567,0.9459,0.98918,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSPA12A",259217,6,0.17804,0.32578,0.062359,0.15562,0.74459,0.9612,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPA12B",116835,6,0.22936,0.54706,0.11896,0.24458,0.58434,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPA13",6782,6,-0.14566,-0.53175,0.00032263,0.0037716,0.5949,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPA14",51182,6,-0.65492,-1.5383,0,0,0.12397,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"HSPA1A",3303,6,0.45901,0.94594,0.84454,0.90364,0.34418,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"HSPA1B",3304,6,0.040891,0.11529,0.0089874,0.040949,0.90821,0.98159,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"HSPA1L",3305,6,0.57282,0.88285,0.59948,0.72783,0.37732,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"HSPA2",3306,6,0.35822,0.94292,0.41715,0.57343,0.34572,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"HSPA4",3308,6,0.14108,0.28992,0.038208,0.11123,0.77188,0.96228,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
