"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"8513","4041",-0.409,"LRP5",0,1,"Present",0.334,0.334,"0","0","0",0
"8514","404203",-0.528,"SPINK6",0,1,"Absent",0.785,0.785,"0","0","0",0
"8515","404217",-0.137,"CTXN1",0,1,"Absent",0.37,0.37,"0","0","0",0
"8516","404220",-0.693,"C6orf201",0,1,"Absent",0.822,0.822,"0","0","0",0
"8517","404281",0.749,"YY2",0,1,"Absent",0.31,0.31,"0","0","0",0
"8518","4043",0.494,"LRPAP1",0,1,"Absent",0.399,0.399,"0","0","0",0
"8519","4045",1.129,"LSAMP",0,1,"Absent",0.848,0.848,"0","0","0",0
"8520","404550",0.132,"C16orf74",0,1,"Absent",0.016,0.016,"0","0","0",0
"8521","404552",1.454,"SCGB1D4",0,0,"Absent",0.573,0.573,"0","0","0",0
"8522","4046",-0.896,"LSP1",0,1,"Absent",0.234,0.234,"0","0","0",0
"8523","404636",1.471,"FAM45A",0,1,"Absent",0.438,0.438,"0","0","0",0
"8524","404672",0.144,"GTF2H5",0,1,"Present",0.169,0.169,"0","0","0",0
"8525","4047",-0.102,"LSS",0,1,"Present",0.316,0.316,"0","0","0",0
"8526","404734",0.524,"ANKHD1-EIF4EBP3",0,1,"Absent",0.597,0.597,"0","0","0",0
"8527","404785",-1.674,"POTEG",0,1,"Absent",0.028,0.028,"HitbyZS","HitbyNA","0",0.5
"8528","4048",0.798,"LTA4H",0,1,"Present",0.518,0.518,"0","0","0",0
"8529","4049",-0.801,"LTA",0,1,"Present",0.012,0.012,"0","0","0",0
"8530","405",-2.072,"ARNT",12,1,"Present",0.128,0.128,"HitbyZS","HitbyNA","HitbyCSA",1
"8531","4050",-0.725,"LTB",0,1,"Present",0.339,0.339,"0","0","0",0
"8532","4051",-0.471,"CYP4F3",0,0,"Present",0.218,0.218,"0","0","0",0
"8533","4052",-0.046,"LTBP1",0,1,"Present",0.262,0.262,"0","0","0",0
"8534","4053",-0.335,"LTBP2",0,1,"Absent",0.316,0.316,"0","0","0",0
"8535","4054",-0.679,"LTBP3",0,1,"Absent",0.045,0.045,"0","0","0",0
